program_studi,bidang_ilmu_id
Manajemen Rekayasa Budidaya Laut,10
Manajemen Rekayasa dan Konstruksi,10
Manajemen Rekayasa Industri,10
Manajemen Rekayasa Konstruksi,10
Manajemen Rekayasa Konstruksi Gedung,10
Manajemen Sistem Informasi,10
Manajemen Transportasi,10
Manajemen Transportasi Jalan,10
Manajemen Transportasi Laut,10
Manajemen Transportasi Perkeretaapian,10
Manufaktur,10
Mekanik Industri Dan Desain,10
Mekatronika,10
Mesin Industri,10
Mesin Otomotif,10
Mesin Perkakas,10
Mesin Produksi,10
Metalurgi,10
Meteorologi,10
Meteorologi Terapan,10
Metrologi dan Instrumentasi,10
Metrologi Dan Instrumetasi,10
Motor Pesawat,10
Nautika,10
Operasionalisasi Perkantoran Digital,10
Operator dan Peralatan Alat Berat,10
Opto Elektronika Dan Aplikasi Laser,10
Opto Elektroteknika Laser,10
Oseanografi,10
Oseanologi,10
Otomasi Perkantoran,10
Otomasi Sistem Permesinan,10
Otomotif,10
Otomotif (Kampus Kab. Bombana),10
Paramedik Veteriner,10
Pemanduan Lalu Lintas Udara,10
Pembangkit Tenaga Listrik,10
Pembuatan Peralatan dan Perkakas Produksi,10
Pemelharaan Kendaraan Ringan,10
Pemeliharaan kendaraan Ringan,10
Pemeliharaan Komputer dan Jaringan,10
Pemeliharaan Mesin,10
Pemeliharaan Mesin Otomotif,10
Pemrograman Operasional Kendaraan Ringan,10
Pendidikan Profesi Arsitek,10
Pendidikan Profesi Insinyur,10
Pendidikan Sistem dan Teknologi Informasi Kampus Purwakarta,10
Pendidikan Teknik Informatika,10
Pendidikan Teknik Mekatronika,10
Pendidikan Teknik Otomasi Industri dan Robotika,10
Penerangan Aeronautika,10
Penerbang,10
Penerbang Sayap Tetap,10
Pengecoran,10
Pengelasan,10
Pengelolaan Infrastruktur dan Pembangunan Masyarakat,10
Pengelolaan Lingkungan,10
Pengelolaan Pelabuhan Perikanan,10
Pengelolaan Sumberdaya Air,10
Pengelolaan Sumberdaya Air Pertanian,10
Pengelolaan Sumberdaya Alam dan Lingkungan,10
Pengembangan Perangkat (Piranti) Lunak Situs,10
Pengolahan Limbah Industri,10
Pengolahan Minyak Dan Gas,10
Pengujian Kendaraan Bermotor,10
Pengukuran dan Pemetaan Kadastral,10
Penyelamatan dan Pemadam Kebakaran Penerbangan,10
Peperangan Asimetris,10
Perancangan Bangunan Gedung,10
Perancangan Jalan Dan Jembatan,10
Perancangan Manufaktur,10
Perancangan Mekanik,10
Perawatan Alat Berat,10
Perawatan dan Perbaikan (Kampus Kab. Paser),10
Perawatan Dan Perbaikan Mesin,10
Perawatan Mesin,10
Perawatan Mesin Pengolah Hasil Perkebunan,10
Perencanaan Pembangunan Wilayah dan Pengelolaan Lingkungan,10
Perencanaan Perumahan Dan Pemukiman,10
Perencanaan Tata Ruang dan Pertanahan,10
Perencanaan Tata Ruang Wilayah Dan Kota,10
Perencanaan Tata Ruang Wilayah dan Kota K. Pekalongan,10
Perencanaan Wilayah,10
Perencanaan Wilayah dan Kota,10
Perencanaan Wilayah Dan Kota/Planologi,10
Perikanan Tangkap,10
Perkeretaapian,10
Permesinan,10
Permesinan Kapal,10
Perminyakan,10
Pertanahan,10
Pertolongan Kecelakaan Pesawat,10
Petro Dan Oleo Kimia,10
Petro dan oleo Kimia (Kampus Kab. Paser),10
Petro dan Oleo Kimia (Kampus Kota Bontang),10
Petro Oleo Kimia (Kampus Kab. Paser),10
PJJ Informatika,10
PJJ Sistem Informasi,10
PJJ Teknik Industri,10
PJJ Teknik Informatika,10
PJJ Teknik Telekomunikasi,10
PLANOLOGI,10
Produksi Tekstil,10
Profesi Arsitek,10
Profesi Insinyur,10
Profesional Industri Kecil Menengah,10
Program Profesi Insinyur,10
Proses Manufaktur,10
Rancang Bangun Kapal,10
Rancang Kota,10
Rangka Pesawat,10
Rangka Pesawat Terbang,10
Rekayasa Elektro,10
Rekayasa Energi Terbarukan,10
Rekayasa Industri (Kampus Kota Madiun),10
Rekayasa Infrastruktur (Terapan),10
Rekayasa Infrastruktur dan Lingkungan,10
Rekayasa Infrastruktur Lingkungan,10
Rekayasa Jalan Dan Jembatan,10
Rekayasa Kayu,10
Rekayasa Keamanan Siber  ,10
Rekayasa Mesin,10
Rekayasa Nuklir,10
Rekayasa Perancangan Mekanik,10
Rekayasa Perangkat Keras Kriptografi,10
Rekayasa Perangkat Lunak,10
Rekayasa Perangkat Lunak (Kampus Kabupaten Banyumas),10
Rekayasa Perangkat Lunak (Kampus Kota Surabaya),10
Rekayasa Perangkat Lunak Aplikasi,10
Rekayasa Perawatan dan Restorasi Bangunan Sipil,10
Rekayasa Perawatan dan Restorasi Jembatan,10
Rekayasa Pertambangan,10
Rekayasa Pertanian dan Biosistem,10
Rekayasa Sistem Komputer,10
Rekayasa Sistem Transportasi Jalan,10
Rekayasa Teknologi Manufaktur,10
Rekayasa Tekstil,10
Rekayasa Tekstil dan Apparel,10
Rekayasa Transportasi,10
Relasi Industri,10
Sains dan Teknologi Nano,10
Sains Data dan Kecerdasan Buatan,10
Sains Informasi Geografi,10
Sains Kebumian,10
Sains Lingkungan Kelautan,10
Sistem Dan Teknik Jalan Raya,10
Sistem dan Teknologi Informasi,10
Sistem Informasi,10
Sistem Informasi (Kampus Jakarta),10
Sistem Informasi (Kampus Kab. Tanah Datar),10
Sistem Informasi (Kampus Kabupaten Banyumas),10
Sistem Informasi (Kampus Kabupaten Lampung Utara),10
Sistem Informasi (Kampus Kabupaten Pringsewu),10
Sistem Informasi (Kampus Kota Jakarta),10
Sistem Informasi (Kampus Kota Kediri),10
Sistem informasi (Kampus Kota Medan),10
Sistem Informasi (Kampus Kota Samarinda),10
Sistem Informasi (Kampus Kota Surabaya),10
Sistem Informasi Akuntansi,10
Sistem Informasi Akuntansi Kampus Kabupaten Karawang ,10
Sistem Informasi Akuntansi Kampus Kota Bogor ,10
Sistem Informasi Akuntansi Kampus Kota Pontianak ,10
Sistem Informasi Akuntansi Kampus Kota Sukabumi ,10
Sistem Informasi Akuntansi Kampus Kota Surakarta ,10
Sistem Informasi Akuntansi Kampus Kota Tegal ,10
Sistem Informasi Bisnis,10
Sistem Informasi Geografis,10
Sistem Informasi Industri,10
Sistem Informasi Industri Otomotif,10
Sistem Informasi Kampus Kabupaten Banyumas ,10
Sistem Informasi Kampus Kabupaten Karawang ,10
Sistem Informasi Kampus Kota Bogor ,10
Sistem Informasi Kampus Kota Pontianak,10
Sistem Informasi Kampus Kota Sukabumi ,10
Sistem Informasi Kampus Kota Surakarta ,10
Sistem Informasi Kampus Kota Tasikmalaya ,10
Sistem Informasi Kampus Kota Tegal ,10
Sistem Informasi Kampus Kota Yogyakarta ,10
Sistem Informasi Kota Cerdas,10
Sistem Kelistrikan,10
Sistem Kelistrikan kapal,10
Sistem Komputer,10
Sistem Komputer (Kampus Jakarta),10
Sistem Pembangkit Energi,10
Sistem Telekomunikasi,10
Strategi Operasi Darat,10
Studi Nautika,10
Survei dan Pemetaan,10
Survei Pemetaan dan Informasi Geografis,10
Survey dan Pemetaan,10
Survey Pemetaan dan Informasi Geografis,10
Tata Laksana Angkutan Laut dan Kepelabuhan,10
Tata Laksana Studio Produksi,10
Tata Operasi Dan Pemeliharaan Prediktif Alat Berat,10
