program_studi,bidang_ilmu_id
Pendidikan Ilmu Komputer,6
Pendidikan Ilmu Pengetahuan Alam,6
Pendidikan Ilmu Pengetahuan Sosial,6
Pendidikan Informatika,6
Pendidikan IPA,6
Pendidikan IPS,6
Pendidikan Islam,6
Pendidikan Islam Anak Usia Dini,6
Pendidikan Islam Anak Usia Dini (PIAUD),6
Pendidikan Jasmani,6
Pendidikan Jasmani (Kampus Kab. Kepulauan Aru),6
Pendidikan Jasmani Dan Kesehatan,6
Pendidikan Jasmani Dan Olahraga,6
Pendidikan Jasmani K. Jembrana,6
Pendidikan Jasmani Kesehatan & Rekreasi,6
Pendidikan Jasmani Kesehatan dan Rekreasi,6
Pendidikan Jasmani Sekolah Dasar,6
"Pendidikan Jasmani, Kesehatan & Rekreasi",6
"Pendidikan Jasmani, Kesehatan Dan Rekreas",6
"Pendidikan Jasmani, Kesehatan dan Rekreasi",6
"Pendidikan Jasmani, Kesehatan, dan Rekreasi",6
"Pendidikan Jasmani,Kesehatan dan Rekreasi",6
Pendidikan Keagamaan Buddha,6
Pendidikan Keagamaan Islam,6
Pendidikan Keagamaan Katolik,6
Pendidikan Kejuruan,6
Pendidikan Kepelatihan Olah Raga,6
Pendidikan Kepelatihan Olahraga,6
Pendidikan Kesejahteraan Keluarga,6
Pendidikan Kewarganegaraan,6
Pendidikan Khusus,6
Pendidikan Kimia,6
Pendidikan Komputer,6
Pendidikan Koperasi,6
Pendidikan Kriya,6
Pendidikan Luar Biasa,6
Pendidikan Luar Sekolah,6
Pendidikan Manajemen Perkantoran,6
Pendidikan Masyarakat,6
Pendidikan Matematika,6
Pendidikan Matematika (Kampus Blitar),6
Pendidikan Matematika (Kampus Kab Kepulauan Aru),6
Pendidikan Matematika (Kampus Kab. Maluku Barat Daya),6
Pendidikan Matematika (Kampus Kota Madiun),6
PENDIDIKAN MIPA,6
Pendidikan Musik,6
Pendidikan Musik Gereja,6
Pendidikan Non Formal,6
Pendidikan Nonformal,6
Pendidikan Olah Raga,6
Pendidikan Olahraga,6
Pendidikan Olahraga dan Kesehatan,6
