program_studi,bidang_ilmu_id
Konservasi Dan Sumber Daya Lahan,7
Konservasi Hutan,7
Konservasi Keanekaragaman hayati,7
Konservasi Laut,7
Konservasi Sumber Daya Alam,7
Konservasi Sumberdaya Hutan,7
Konservasi Sumberdaya Hutan Dan Ekowisata,7
Magister Agronomi,7
Magister Ekonomi Pertanian,7
Magister Fitopatologi,7
Magister Ilmu dan Teknologi Pangan,7
Magister Ilmu Hama Tanaman,7
Magister Ilmu Kehutanan,7
Magister Ilmu Pangan,7
Magister Ilmu Perikanan,7
Magister Ilmu Peternakan,7
Magister Ilmu Tanah,7
Magister Manajemen Agribisnis,7
Magister Pemuliaan Tanaman,7
Magister Penyuluhan dan Komunikasi Pembangunan,7
Magister Sains Veteriner,7
Magister Teknik Pertanian,7
Magister Teknologi Hasil Perkebunan,7
Magister Teknologi Industri Pertanian,7
Manajemen Agribisnis,7
Manajemen Agribisnis (Kampus Kab. Ende),7
Manajemen Agribisnis (Kampus Kab. Nganjuk),7
Manajemen Agribisnis (Kampus Kab.Kupang),7
Manajemen Agroindustri,7
Manajemen Bisnis Unggas,7
Manajemen Ekowisata Dan Jasa Lingkungan,7
Manajemen Hutan,7
Manajemen Hutan Alam Produksi,7
Manajemen Informatika K.Temanggung,7
Manajemen Ketahanan Pangan,7
MANAJEMEN LAHAN KERING,7
Manajemen Pengelolaan Sumberdaya Perairan,7
Manajemen Perikanan,7
Manajemen Perkebunan,7
Manajemen Pertanian Lahan Kering,7
Manajemen Pertanian Lahan Kering (Kampus Kab. Sabu Raijua),7
Manajemen Pesisir Dan Teknik Kelautan,7
Manajemen Rekayasa Pengolahan Hasil Perikanan,7
Manajemen Rekayasa Perikanan Tangkap,7
Manajemen Sumber Daya Hutan,7
Manajemen Sumber Daya Perairan,7
Manajemen Sumber Daya Peternakan,7
Manajemen Sumberdaya Akuatik,7
Manajemen Sumberdaya Kelautan dan Pulau-pulau Kecil,7
Manajemen Sumberdaya Lahan,7
Manajemen Sumberdaya Perairan,7
Manajemen Sumberdaya Pesisir,7
Manajemen Wilayah Pesisir dan Laut,7
Mekanisasi Perikanan,7
Mekanisasi Pertanian,7
Mesin dan Peralatan Perikanan,7
Mesin Dan Peralatan Pertanian,7
Mesin Peralatan Pertanian,7
Mikrobiologi Medik,7
Mitigasi Bencana Kerusakan Lahan,7
Nustrisi dan Teknologi Pakan Ternak,7
Nutrisi Dan Makanan Ternak,7
Nutrisi dan Teknologi Pakan,7
Nutrisi dan Teknologi Pakan Ternak,7
Oseanografi,7
Pangan dan Nutrisi,7
Paramedik Veteriner,7
Parasitologi Dan Entomologi Kesehatan,7
Pemanfaatan Sumber Daya Perairan,7
Pemanfaatan Sumber Daya Perikanan,7
Pemanfaatan Sumberdaya Perairan,7
Pemanfaatan Sumberdaya perikanan,7
Pembibitan Kelapa Sawit,7
Pemeliharaan Kelapa Sawit,7
Pemuliaan Dan Bioteknologi Tanaman,7
Pemuliaan Tanaman,7
Penangkapan Ikan,7
Pendidikan Dokter Hewan,7
Pendidikan Kelautan dan Perikanan Kampus Serang,7
Pendidikan Profesi Dokter Hewan,7
Pendidikan Teknologi Pertanian,7
Pengelolaan Agribisnis,7
Pengelolaan Agribisnis Perkebunan,7
Pengelolaan Daerah Aliran Sungai,7
Pengelolaan Hasil Perikanan,7
Pengelolaan Hasil Perkebunan (Kampus Kab. Sanggau),7
Pengelolaan Hutan,7
Pengelolaan Infrastruktur Air Bersih dan Sanitasi,7
Pengelolaan Lahan,7
PENGELOLAAN PERIKANAN PESISIR,7
Pengelolaan Perkebunan,7
Pengelolaan Perkebunan Kopi,7
Pengelolaan Sumber Daya Lahan,7
Pengelolaan Sumber Daya Perairan,7
Pengelolaan Sumber Daya Perikanan. K Kab. Rembang,7
Pengelolaan Sumberdaya Lahan Kering,7
Pengelolaan Sumberdaya Perairan,7
Pengelolaan Sumberdaya Perikanan,7
Pengelolaan Sumberdaya Pesisir Dan Lautan,7
Pengelolaan Sumberdaya Pesisir Terpadu,7
Pengelolaan Tanah Dan Air,7
Pengembangan  Produk Agroindustri,7
Pengembangan Produk Agroindustri,7
Pengendalian Hama Terpadu,7
Pengolahan Dan Penyimpanan Hasil Perikanan,7
Pengolahan Hasil Hutan,7
Pengolahan Hasil Laut,7
Pengolahan Hasil Laut/Perikanan,7
Pengolahan Hasil Perikanan,7
Pengolahan Hasil Perkebunan Kelapa Sawit,7
Pengolahan Hasil Perkebunan Terpadu,7
Pengolahan Hasil Ternak Unggas,7
Pengolahan Patiseri,7
Penjaminan Mutu Industri Pangan,7
Penyuluh Pertanian,7
Penyuluhan dan Komunikasi Pertanian,7
Penyuluhan Kehutanan,7
Penyuluhan Pembangunan,7
Penyuluhan Perikanan,7
Penyuluhan Perkebunan,7
Penyuluhan Perkebunan Presisi,7
Penyuluhan Pertanian,7
Penyuluhan Pertanian Berkelanjutan,7
Penyuluhan Pertanian Lahan Kering,7
Penyuluhan Perternakan,7
Penyuluhan Peternakan,7
Penyuluhan Peternakan dan Kesejahteraan Hewan,7
Perencanaan Sumber Daya Lahan,7
Perikanan,7
PERIKANAN DAN KELAUTAN,7
Perikanan Tangkap,7
Perkebunan,7
Perkebunan Kelapa Sawit,7
Perlindungan Tanaman,7
Permesinan Perikanan,7
Pertamanan,7
PERTANIAN,7
Pertanian Lahan Kering,7
Pertanian Tropika Basah,7
Peternakan,7
Peternakan (Kampus Kab. Maluku Barat Daya),7
Peternakan (Kampus Kab. Pidie Jaya),7
Peternakan (Kampus Kab. Sumbawa),7
Peternakan (Kampus Kabupaten Sijunjung),7
Peternakan (Kampus kota Kediri),7
Peternakan (sosek Peternakan)          Po,7
Peternakan (tek Hasil Ternak)          Po,7
Peternakan K. Pangandaran,7
"Peternakan, Kampus Payakumbuh",7
Primatologi,7
Produksi dan Manajemen Industri Perkebunan,7
Produksi Tanaman Holtikultura (Kampus Kab. Cianjur),7
Produksi Tanaman Hortikultura,7
Produksi Tanaman Pangan,7
Produksi Tanaman Perkebunan,7
Produksi Tanaman Perkebunan K. Temanggung,7
Produksi Ternak,7
Produksi Ternak (Kampus Kab. Sumba Timur),7
Produksi Ternak K. Bondowoso,7
Produksi Ternak Kab. Halmahera Tengah,7
Produksi Ternak Kampus Kab.Kupang D2,7
Profesi Dokter Hewan,7
Profesi Insinyur Kehutanan,7
Profesi Insinyur Peternakan,7
Proteksi Tanaman,7
Rekayasa Kehutanan,7
Rekayasa Pertanian,7
Sains Agribisnis,7
Sains Perkopian,7
Sains Pertanian,7
Sains Veteriner,7
Silvikultur,7
Silvikultur Tropika,7
Sistem dan Pemodelan Perikanan Tangkap,7
Sistem Informasi Kelautan,7
Sistem-Sistem Pertanian,7
SOSIAL EKONOMI PERIKANAN,7
Sosial Ekonomi Perikanan               Po,7
Sosial Ekonomi Perikanan (Kampus Kota Kediri),7
SOSIAL EKONOMI PERTANIAN,7
Sumber Daya Akuatik,7
Sumber Daya Perairan,7
Sumber Daya Perairan Pesisir & Kelautan,7
Sumberdaya Akuatik,7
Supervisor Jaminan Mutu Pangan,7
Tanaman  Pangan dan Hortikultura,7
Tanaman Pangan dan Holtikultura K.Sumbawa,7
Tanaman Pangan dan Hortikultura,7
Tanaman Pangan dan Hortikultura (Kampus Kab.Ende),7
Tata Air Pertanian,7
Teknik Agroindustri,7
Teknik Budidaya Perikanan,7
Teknik dan Manajemen Lingkungan,7
Teknik dan Manajemen Produksi Perkebunan Kab Enrekang,7
Teknik dan Pengelolaan Sumber Daya Air,7
Teknik Industri Pertanian,7
Teknik Kelautan,7
Teknik Mekanisasi Pengolahan,7
Teknik Mesin Pertanian Dan Pangan,7
Teknik Pangan,7
Teknik Penangkapan Ikan,7
Teknik Pengolahan Hasil Perkebunan Kampus Kabupaten Polewali Mandar,7
Teknik Pengolahan Kelapa Sawit,7
Teknik Pengolahan Produk Perikanan,7
Teknik Pengolahan Sawit,7
Teknik Pertanian,7
Teknik Pertanian dan Biosistem,7
Teknik Produksi Benih,7
Teknik Sumberdaya Lahan dan Lingkungan,7
Teknisi Peternakan,7
TEKNOBIOLOGI,7
Teknologi Agroindustri,7
Teknologi Akuakultur,7
Teknologi Benih,7
Teknologi Budi Daya Perikanan,7
Teknologi Budidaya Ikan,7
Teknologi Budidaya Perikanan,7
Teknologi Budidaya Perikanan (Kampus Kab. Kapuas Hulu),7
Teknologi Budidaya Perikanan (Kampus Kab.Sabu Raijua),7
Teknologi dan Manajemen Pembenihan Ikan,7
Teknologi Dan Manajemen Perikanan Budidaya,7
Teknologi Dan Manajemen Perikanan Tangkap,7
Teknologi dan Manajemen Produksi Perkebunan,7
Teknologi Dan Manajemen Ternak,7
Teknologi Hasil Hutan,7
Teknologi Hasil Perairan,7
Teknologi Hasil Perikanan,7
Teknologi Hasil Perikanan (Kampus Nunukan),7
Teknologi Hasil Perkebunan,7
Teknologi Hasil Pertanian,7
Teknologi Hasil Pertanian  K. Kab. Madiun,7
